OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,shape,data_as_of,data_loaded_at,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,SF Find Neighborhoods
68384,Revere Ave&Jennings St E-NS,RVREJEN1,RVREJENN,6251,37.72953,-122.3863,,JENNINGS ST,REVERE AVE,NS,EA,FL,0,1720006111000,15523239,146,10,POINT (-122.3863 37.72953),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,2,9,1,86,86
67757,Haight St&Divisadero St SE-FS/BZ,HAITDIV1,HAITDIVI,4951,37.771231,-122.436743,1,DIVISADERO ST,HAIGHT ST,FS,SE,BZ,1,1720006111000,15518024,146,5,POINT (-122.436743 37.771231),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,4,11,3,26,26
66803,San Bruno Ave&Mansell St E-NS/BZ,SBROMAN1,SBROMANS,6360,37.7211,-122.40083,1,MANSELL ST,SAN BRUNO AVE,NS,EA,BZ,0,1720006111000,15521531,146,10,POINT (-122.40083 37.7211),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,9,25,91,91
67828,De Haro St&22ND St NE-FS/PS,DHRO22S1,DHRO22ST,4355,37.757436999999996,-122.400822,,22ND ST,DE HARO ST,FS,NE,,0,1720006111000,15515894,146,10,POINT (-122.400822 37.757437),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,2,9,26,54,54
68391,Plymouth Ave&Broad St NW-NS,PLYMBROD,PLYMBROD,7230,37.713279,-122.456174,,BROAD ST,PLYMOUTH AVE,NS,NW,FL,0,1720006111000,15516464,146,11,POINT (-122.456174 37.713279),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,1,24,81,81
66017,California St&Park Presidio Blvd NW,CALIPKP0,CALIPKPR,3886,37.784514,-122.47295199999999,1,PARK PRESIDIO BLVD,CALIFORNIA ST,FS,NW,BZ,0,1720006111000,15515969,146,1,POINT (-122.472952 37.784514),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,8,4,29,2,2
68182,Third Street&Mariposa St. SW-FS/SB,.3STMAR0,,7382,37.764177,-122.388945,1,MARIPOSA ST,3RD ST,,,,0,1720006111000,15524106,146,10,POINT (-122.388945 37.764177),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,2,9,26,55,55
65747,Ocean Ave&Mission St NW-FS/PS,OCENMIS0,OCENMISS,5796,37.723887,-122.436143,,PERSIA AVE,OCEAN AVE,FS,NW,,0,1720006111000,15522257,146,11,POINT (-122.436143 37.723887),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,1,28,94,94
66891,Sloat Blvd&21st Ave NW-FS/BZ,SLOA21A0,SLOA21AV,6437,37.734752,-122.47738,,21ST AVE,SLOAT BLVD,FS,NW,BZ,0,1720006111000,15521391,146,4,POINT (-122.47738 37.734752),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,7,35,40,40
67557,3rd St&Gilman Ave NE-FS/SI,3ST GIL0,3ST GIL0,7347,37.722449,-122.39561,1,GILMAN AVE,3RD ST,FS,NE,SI,0,1720006111000,15524958,146,10,POINT (-122.39561 37.722449),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,2,9,1,88,88
67450,City College Ocean Campus NE-FS/BZ,FRIDC C1,,5928,37.726037999999996,-122.45227,,CLOUD CIR,PHELAN AVE,NS,SE,BZ,0,1720006111000,15523871,146,7,POINT (-122.45227 37.726038),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,8,41,95,95
67720,Fillmore St&Jefferson St NE-FS/BZ,FILLJEF0,FILLJEFF,4625,37.805609,-122.437207,,JEFFERSON ST,FILLMORE ST,FS,SW,BZ,0,1720006111000,15517321,146,2,POINT (-122.437207 37.805609),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,4,6,13,17,17
66373,Ingalls St & Palou Ave NW-NS/PS,INGLPALU,,8066,37.729884,-122.383451,,PALOU AVE,INGALLS ST,NS,NW,,0,1720006111000,15525917,146,10,POINT (-122.383451 37.729884),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,2,9,1,86,86
66470,Brazil Ave&Athens St W-NS/PS,BRZLATH0,BRZLATHN,3759,37.72166,-122.42857000000001,,ATHENS ST,BRAZIL AVE,NS,WE,FL,0,1720006111000,15515986,146,11,POINT (-122.42857 37.72166),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,1,7,90,90
67667,Bryant St&4TH St S-NS/PS,BRYT 4S1,BRYT 4ST,3723,37.779474,-122.398068,,4TH ST,BRYANT ST,NS,SO,,0,1720006111000,15515608,146,6,POINT (-122.398068 37.779474),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,1,10,34,32,32
67103,Bradford St&Bernal Heights Blvd SW,BRFDBHT1,BRFDBHTS,3709,37.74286,-122.4094,,BERNAL HEIGHTS BLVD,BRADFORD ST,FS,SW,,0,1720006111000,15515530,146,9,POINT (-122.4094 37.74286),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,9,2,2,83,83
66353,46th Ave&Ortega St SE-NS/SB,46AVORT1,46AVORTG,3589,37.751017,-122.505194,,ORTEGA ST,46TH AVE,NS,SE,,0,1720006111000,15524882,146,4,POINT (-122.505194 37.751017),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,7,35,39,39
67417,Sutter St&Baker St NE-NS/BZ,SUTTBAK0,SUTTBAKR,6585,37.784889,-122.443067,,BAKER ST,SUTTER ST,NS,NE,BZ,1,1720006111000,15521315,146,2,POINT (-122.443067 37.784889),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,8,6,30,103,103
66851,Ulloa St&West Portal Ave SE-FS/PS,ULOAW.P1,,7976,37.740733,-122.46564000000001,1,,ULLOA ST,,,,0,1720006111000,15526072,146,7,POINT (-122.46564 37.740733),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,8,41,46,46
67704,Font Blvd&Tapia Dr E-NS/SB,FONTTAP1,FONTTAPI,4712,37.72068,-122.480902,,TAPIA DR,FONT BLVD,NS,EA,,0,1720006111000,15517288,146,7,POINT (-122.480902 37.72068),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,10,8,16,42,42
65888,8th St&Harrison St S-FS/BI,.8STHAR0,8STHARR,3206,37.773536,-122.408376,,HARRISON ST,8TH ST,FS,SO,BZ,0,1720006111000,15514867,146,6,POINT (-122.408376 37.773536),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,1,10,34,32,32
67202,Hawes St&Gilman Ave S-NS/SB,HAWSGLM1,HAWSGLMN,4976,37.719198,-122.390012,,GILMAN AVE,HAWES ST,NS,SO,,0,1720006111000,15517513,146,10,POINT (-122.390012 37.719198),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,2,9,1,88,88
67302,Jones St&Geary St NW-NS/BZ,JONEGEA0,JONEGEAR,5185,37.78686,-122.41325,,GEARY ST,JONES ST,NS,NW,BZ,1,1720006111000,15517529,146,3,POINT (-122.41325 37.78686),07/10/2024 01:54:53 PM,07/13/2024 10:07:38 AM,6,3,36,50,50
