Fiscal Year,Month,Service Day of the Week,Transportation Mode,Average Daily Boardings
FY 19-20,August 2019,SATURDAY,Connector,"10,600"
FY 19-20,August 2019,WEEKDAY,Connector,"14,120"
FY 19-20,September 2019,SUNDAY,Connector,"9,460"
FY 19-20,September 2019,SATURDAY,Connector,"11,880"
FY 19-20,September 2019,WEEKDAY,Connector,"18,930"
FY 19-20,October 2019,SUNDAY,Connector,"9,620"
FY 19-20,October 2019,SATURDAY,Connector,"12,850"
FY 19-20,October 2019,WEEKDAY,Connector,"19,440"
FY 19-20,November 2019,SUNDAY,Connector,"8,430"
FY 19-20,November 2019,SATURDAY,Connector,"10,050"
FY 19-20,November 2019,WEEKDAY,Connector,"16,740"
FY 19-20,December 2019,SUNDAY,Connector,"7,790"
FY 19-20,December 2019,SATURDAY,Connector,"9,970"
FY 19-20,December 2019,WEEKDAY,Connector,"15,160"
FY 19-20,January 2020,SUNDAY,Connector,"7,690"
FY 19-20,January 2020,SATURDAY,Connector,"8,790"
FY 19-20,January 2020,WEEKDAY,Connector,"14,640"
FY 19-20,February 2020,SUNDAY,Connector,"6,370"
FY 19-20,February 2020,SATURDAY,Connector,"10,340"
FY 19-20,February 2020,WEEKDAY,Connector,"17,930"
FY 19-20,March 2020,SUNDAY,Connector,"5,460"
FY 19-20,March 2020,SATURDAY,Connector,"5,730"
FY 19-20,March 2020,WEEKDAY,Connector,"9,250"
FY 19-20,April 2020,SUNDAY,Connector,490
FY 19-20,April 2020,SATURDAY,Connector,710
FY 19-20,April 2020,WEEKDAY,Connector,770
FY 19-20,May 2020,SUNDAY,Connector,460
FY 19-20,May 2020,SATURDAY,Connector,480
FY 19-20,May 2020,WEEKDAY,Connector,490
FY 19-20,June 2020,SUNDAY,Connector,440
FY 19-20,June 2020,SATURDAY,Connector,540
FY 19-20,June 2020,WEEKDAY,Connector,610
FY 20-21,July 2020,SUNDAY,Connector,470
FY 20-21,July 2020,SATURDAY,Connector,460
FY 20-21,July 2020,WEEKDAY,Connector,610
FY 20-21,August 2020,SUNDAY,Connector,670
FY 20-21,August 2020,SATURDAY,Connector,790
FY 20-21,August 2020,WEEKDAY,Connector,900
FY 20-21,September 2020,SUNDAY,Connector,530
FY 20-21,September 2020,SATURDAY,Connector,480
FY 20-21,September 2020,WEEKDAY,Connector,920
FY 20-21,October 2020,SUNDAY,Connector,560
FY 20-21,October 2020,SATURDAY,Connector,500
FY 20-21,October 2020,WEEKDAY,Connector,660
FY 20-21,November 2020,SUNDAY,Connector,530
FY 20-21,November 2020,SATURDAY,Connector,650
FY 20-21,November 2020,WEEKDAY,Connector,640
FY 20-21,December 2020,SUNDAY,Connector,410
FY 20-21,December 2020,SATURDAY,Connector,450
FY 20-21,December 2020,WEEKDAY,Connector,690
FY 20-21,January 2021,SUNDAY,Connector,520
FY 20-21,January 2021,SATURDAY,Connector,620
FY 20-21,January 2021,WEEKDAY,Connector,950
FY 20-21,February 2021,SUNDAY,Connector,920
FY 20-21,February 2021,SATURDAY,Connector,"1,210"
FY 20-21,February 2021,WEEKDAY,Connector,"1,490"
FY 20-21,March 2021,SUNDAY,Connector,"1,000"
FY 20-21,March 2021,SATURDAY,Connector,"1,390"
FY 20-21,March 2021,WEEKDAY,Connector,"1,480"
FY 20-21,April 2021,SUNDAY,Connector,890
FY 20-21,April 2021,SATURDAY,Connector,"1,170"
FY 20-21,April 2021,WEEKDAY,Connector,"1,620"
FY 20-21,May 2021,SUNDAY,Connector,810
FY 20-21,May 2021,SATURDAY,Connector,"2,440"
FY 20-21,May 2021,WEEKDAY,Connector,"1,680"
FY 20-21,June 2021,SUNDAY,Connector,"1,370"
FY 20-21,June 2021,SATURDAY,Connector,"1,460"
FY 20-21,June 2021,WEEKDAY,Connector,"1,550"
FY 21-22,July 2021,SUNDAY,Connector,"1,620"
FY 21-22,July 2021,SATURDAY,Connector,"1,430"
FY 21-22,July 2021,WEEKDAY,Connector,"2,230"
FY 21-22,August 2021,SUNDAY,Connector,"1,940"
FY 21-22,August 2021,SATURDAY,Connector,"2,130"
FY 21-22,August 2021,WEEKDAY,Connector,"3,220"
FY 21-22,September 2021,SUNDAY,Connector,"2,360"
FY 21-22,September 2021,SATURDAY,Connector,"2,760"
FY 21-22,September 2021,WEEKDAY,Connector,"4,960"
FY 21-22,October 2021,SUNDAY,Connector,"2,140"
FY 21-22,October 2021,SATURDAY,Connector,"3,200"
FY 21-22,October 2021,WEEKDAY,Connector,"4,830"
FY 21-22,November 2021,SUNDAY,Connector,"2,430"
FY 21-22,November 2021,SATURDAY,Connector,"3,310"
FY 21-22,November 2021,WEEKDAY,Connector,"4,940"
FY 21-22,December 2021,SUNDAY,Connector,"2,270"
FY 21-22,December 2021,SATURDAY,Connector,"2,920"
FY 21-22,December 2021,WEEKDAY,Connector,"4,500"
FY 21-22,January 2022,SUNDAY,Connector,"2,400"
FY 21-22,January 2022,SATURDAY,Connector,"2,870"
FY 21-22,January 2022,WEEKDAY,Connector,"4,690"
FY 21-22,February 2022,SUNDAY,Connector,"2,970"
FY 21-22,February 2022,SATURDAY,Connector,"3,630"
FY 21-22,February 2022,WEEKDAY,Connector,"5,300"
FY 21-22,March 2022,SUNDAY,Connector,"3,330"
FY 21-22,March 2022,SATURDAY,Connector,"4,020"
FY 21-22,March 2022,WEEKDAY,Connector,"6,100"
FY 21-22,April 2022,SUNDAY,Connector,"3,410"
FY 21-22,April 2022,SATURDAY,Connector,"4,080"
FY 21-22,April 2022,WEEKDAY,Connector,"5,800"
FY 21-22,May 2022,SUNDAY,Connector,"3,270"
FY 21-22,May 2022,SATURDAY,Connector,"4,040"
FY 21-22,May 2022,WEEKDAY,Connector,"5,910"
FY 21-22,June 2022,SUNDAY,Connector,"3,230"
FY 21-22,June 2022,SATURDAY,Connector,"4,020"
FY 21-22,June 2022,WEEKDAY,Connector,"5,670"
FY 22-23,July 2022,SUNDAY,Connector,"3,100"
FY 22-23,July 2022,SATURDAY,Connector,"3,550"
FY 22-23,July 2022,WEEKDAY,Connector,"5,530"
FY 22-23,August 2022,SUNDAY,Connector,"3,160"
FY 22-23,August 2022,SATURDAY,Connector,"3,780"
FY 22-23,August 2022,WEEKDAY,Connector,"5,080"
FY 22-23,September 2022,SUNDAY,Connector,"3,430"
FY 22-23,September 2022,SATURDAY,Connector,"4,650"
FY 22-23,September 2022,WEEKDAY,Connector,"6,310"
FY 22-23,October 2022,SUNDAY,Connector,"3,960"
FY 22-23,October 2022,SATURDAY,Connector,"4,590"
FY 22-23,October 2022,WEEKDAY,Connector,"7,060"
FY 22-23,November 2022,SUNDAY,Connector,"3,950"
FY 22-23,November 2022,SATURDAY,Connector,"4,930"
FY 22-23,November 2022,WEEKDAY,Connector,"6,900"
FY 22-23,December 2022,SUNDAY,Connector,"4,000"
FY 22-23,December 2022,SATURDAY,Connector,"4,260"
FY 22-23,December 2022,WEEKDAY,Connector,"6,730"
FY 22-23,January 2023,SUNDAY,Connector,"4,500"
FY 22-23,January 2023,SATURDAY,Connector,"5,050"
FY 22-23,January 2023,WEEKDAY,Connector,"7,960"
