Fiscal Year,Month,Service Day of the Week,Transportation Mode,Average Daily Boardings
FY 21-22,July 2021,WEEKDAY,Owl,"1,310"
FY 21-22,August 2021,SUNDAY,Owl,810
FY 21-22,August 2021,SATURDAY,Owl,800
FY 21-22,August 2021,WEEKDAY,Owl,930
FY 21-22,September 2021,SUNDAY,Owl,630
FY 21-22,September 2021,SATURDAY,Owl,680
FY 21-22,September 2021,WEEKDAY,Owl,620
FY 21-22,October 2021,SUNDAY,Owl,630
FY 21-22,October 2021,SATURDAY,Owl,760
FY 21-22,October 2021,WEEKDAY,Owl,570
FY 21-22,November 2021,SUNDAY,Owl,510
FY 21-22,November 2021,SATURDAY,Owl,720
FY 21-22,November 2021,WEEKDAY,Owl,630
FY 21-22,December 2021,SUNDAY,Owl,580
FY 21-22,December 2021,SATURDAY,Owl,590
FY 21-22,December 2021,WEEKDAY,Owl,640
FY 21-22,January 2022,SUNDAY,Owl,480
FY 21-22,January 2022,SATURDAY,Owl,520
FY 21-22,January 2022,WEEKDAY,Owl,560
FY 21-22,February 2022,SUNDAY,Owl,520
FY 21-22,February 2022,SATURDAY,Owl,530
FY 21-22,February 2022,WEEKDAY,Owl,560
FY 21-22,March 2022,SUNDAY,Owl,570
FY 21-22,March 2022,SATURDAY,Owl,550
FY 21-22,March 2022,WEEKDAY,Owl,620
FY 21-22,April 2022,SUNDAY,Owl,580
FY 21-22,April 2022,SATURDAY,Owl,680
FY 21-22,April 2022,WEEKDAY,Owl,650
FY 21-22,May 2022,SUNDAY,Owl,630
FY 21-22,May 2022,SATURDAY,Owl,600
FY 21-22,May 2022,WEEKDAY,Owl,610
FY 21-22,June 2022,SUNDAY,Owl,660
FY 21-22,June 2022,SATURDAY,Owl,760
FY 21-22,June 2022,WEEKDAY,Owl,750
FY 22-23,July 2022,SUNDAY,Owl,690
FY 22-23,July 2022,SATURDAY,Owl,690
FY 22-23,July 2022,WEEKDAY,Owl,750
FY 22-23,August 2022,SUNDAY,Owl,720
FY 22-23,August 2022,SATURDAY,Owl,780
FY 22-23,August 2022,WEEKDAY,Owl,750
FY 22-23,September 2022,SUNDAY,Owl,740
FY 22-23,September 2022,SATURDAY,Owl,920
FY 22-23,September 2022,WEEKDAY,Owl,800
FY 22-23,October 2022,SUNDAY,Owl,750
FY 22-23,October 2022,SATURDAY,Owl,970
FY 22-23,October 2022,WEEKDAY,Owl,800
FY 22-23,November 2022,SUNDAY,Owl,640
FY 22-23,November 2022,SATURDAY,Owl,730
FY 22-23,November 2022,WEEKDAY,Owl,760
FY 22-23,December 2022,SUNDAY,Owl,610
FY 22-23,December 2022,SATURDAY,Owl,840
FY 22-23,December 2022,WEEKDAY,Owl,770
FY 22-23,January 2023,SUNDAY,Owl,640
FY 22-23,January 2023,SATURDAY,Owl,730
FY 22-23,January 2023,WEEKDAY,Owl,780
FY 22-23,February 2023,SUNDAY,Owl,690
FY 22-23,February 2023,SATURDAY,Owl,760
FY 22-23,February 2023,WEEKDAY,Owl,770
FY 22-23,March 2023,SUNDAY,Owl,730
FY 22-23,March 2023,SATURDAY,Owl,760
FY 22-23,March 2023,WEEKDAY,Owl,770
FY 22-23,April 2023,SUNDAY,Owl,730
FY 22-23,April 2023,SATURDAY,Owl,830
FY 22-23,April 2023,WEEKDAY,Owl,850
FY 22-23,May 2023,SUNDAY,Owl,750
FY 22-23,May 2023,SATURDAY,Owl,800
FY 22-23,May 2023,WEEKDAY,Owl,830
FY 22-23,June 2023,SUNDAY,Owl,720
FY 22-23,June 2023,SATURDAY,Owl,830
FY 22-23,June 2023,WEEKDAY,Owl,840
FY 23-24,July 2023,SUNDAY,Owl,800
FY 23-24,July 2023,SATURDAY,Owl,860
FY 23-24,July 2023,WEEKDAY,Owl,850
FY 23-24,August 2023,SUNDAY,Owl,790
FY 23-24,August 2023,SATURDAY,Owl,800
FY 23-24,August 2023,WEEKDAY,Owl,850
FY 23-24,September 2023,SUNDAY,Owl,760
FY 23-24,September 2023,SATURDAY,Owl,900
FY 23-24,September 2023,WEEKDAY,Owl,910
FY 23-24,October 2023,SUNDAY,Owl,780
FY 23-24,October 2023,SATURDAY,Owl,"1,140"
FY 23-24,October 2023,WEEKDAY,Owl,890
FY 23-24,November 2023,SUNDAY,Owl,760
FY 23-24,November 2023,SATURDAY,Owl,850
FY 23-24,November 2023,WEEKDAY,Owl,840
FY 23-24,December 2023,SUNDAY,Owl,900
FY 23-24,December 2023,SATURDAY,Owl,840
FY 23-24,December 2023,WEEKDAY,Owl,870
FY 23-24,January 2024,SUNDAY,Owl,770
FY 23-24,January 2024,SATURDAY,Owl,810
FY 23-24,January 2024,WEEKDAY,Owl,840
FY 23-24,February 2024,SUNDAY,Owl,720
FY 23-24,February 2024,SATURDAY,Owl,840
FY 23-24,February 2024,WEEKDAY,Owl,880
FY 23-24,March 2024,SUNDAY,Owl,800
FY 23-24,March 2024,SATURDAY,Owl,810
FY 23-24,March 2024,WEEKDAY,Owl,880
FY 23-24,April 2024,SUNDAY,Owl,780
FY 23-24,April 2024,SATURDAY,Owl,860
FY 23-24,April 2024,WEEKDAY,Owl,870
FY 23-24,May 2024,SUNDAY,Owl,760
FY 23-24,May 2024,SATURDAY,Owl,820
FY 23-24,May 2024,WEEKDAY,Owl,900
FY 23-24,June 2024,SUNDAY,Owl,870
FY 23-24,June 2024,SATURDAY,Owl,890
FY 23-24,June 2024,WEEKDAY,Owl,930
FY 15-16,January 2016,SUNDAY,Rapid Bus,"18,730"
FY 15-16,January 2016,SATURDAY,Rapid Bus,"23,050"
FY 15-16,January 2016,WEEKDAY,Rapid Bus,"74,900"
FY 15-16,February 2016,SUNDAY,Rapid Bus,"21,130"
FY 15-16,February 2016,SATURDAY,Rapid Bus,"25,520"
FY 15-16,February 2016,WEEKDAY,Rapid Bus,"76,660"
FY 15-16,March 2016,SUNDAY,Rapid Bus,"18,260"
FY 15-16,March 2016,SATURDAY,Rapid Bus,"23,090"
FY 15-16,March 2016,WEEKDAY,Rapid Bus,"75,060"
FY 15-16,April 2016,SUNDAY,Rapid Bus,"21,540"
FY 15-16,April 2016,SATURDAY,Rapid Bus,"25,220"
FY 15-16,April 2016,WEEKDAY,Rapid Bus,"75,800"
FY 15-16,May 2016,SUNDAY,Rapid Bus,"18,750"
FY 15-16,May 2016,SATURDAY,Rapid Bus,"22,580"
FY 15-16,May 2016,WEEKDAY,Rapid Bus,"76,350"
FY 15-16,June 2016,SUNDAY,Rapid Bus,"20,440"
FY 15-16,June 2016,SATURDAY,Rapid Bus,"22,900"
FY 15-16,June 2016,WEEKDAY,Rapid Bus,"71,010"
FY 16-17,July 2016,SUNDAY,Rapid Bus,"18,740"
FY 16-17,July 2016,SATURDAY,Rapid Bus,"22,340"
FY 16-17,July 2016,WEEKDAY,Rapid Bus,"70,180"
FY 16-17,August 2016,SUNDAY,Rapid Bus,"20,010"
FY 16-17,August 2016,SATURDAY,Rapid Bus,"23,370"
FY 16-17,August 2016,WEEKDAY,Rapid Bus,"73,280"
FY 16-17,September 2016,SUNDAY,Rapid Bus,"19,080"
FY 16-17,September 2016,SATURDAY,Rapid Bus,"24,730"
FY 16-17,September 2016,WEEKDAY,Rapid Bus,"76,320"
FY 16-17,October 2016,SUNDAY,Rapid Bus,"20,480"
FY 16-17,October 2016,SATURDAY,Rapid Bus,"24,950"
FY 16-17,October 2016,WEEKDAY,Rapid Bus,"76,480"
FY 16-17,November 2016,SUNDAY,Rapid Bus,"18,850"
FY 16-17,November 2016,SATURDAY,Rapid Bus,"22,770"
FY 16-17,November 2016,WEEKDAY,Rapid Bus,"75,700"
FY 16-17,December 2016,SUNDAY,Rapid Bus,"15,730"
FY 16-17,December 2016,SATURDAY,Rapid Bus,"20,030"
FY 16-17,December 2016,WEEKDAY,Rapid Bus,"72,510"
FY 16-17,January 2017,SUNDAY,Rapid Bus,"18,440"
FY 16-17,January 2017,SATURDAY,Rapid Bus,"23,380"
FY 16-17,January 2017,WEEKDAY,Rapid Bus,"74,530"
FY 16-17,February 2017,SUNDAY,Rapid Bus,"20,850"
FY 16-17,February 2017,SATURDAY,Rapid Bus,"25,920"
FY 16-17,February 2017,WEEKDAY,Rapid Bus,"77,410"
FY 16-17,March 2017,SUNDAY,Rapid Bus,"18,250"
FY 16-17,March 2017,SATURDAY,Rapid Bus,"23,470"
FY 16-17,March 2017,WEEKDAY,Rapid Bus,"76,820"
FY 16-17,April 2017,SUNDAY,Rapid Bus,"21,220"
FY 16-17,April 2017,SATURDAY,Rapid Bus,"25,600"
FY 16-17,April 2017,WEEKDAY,Rapid Bus,"77,500"
FY 16-17,May 2017,SUNDAY,Rapid Bus,"20,710"
FY 16-17,May 2017,SATURDAY,Rapid Bus,"26,020"
FY 16-17,May 2017,WEEKDAY,Rapid Bus,"81,700"
FY 16-17,June 2017,SUNDAY,Rapid Bus,"20,820"
FY 16-17,June 2017,SATURDAY,Rapid Bus,"25,690"
FY 16-17,June 2017,WEEKDAY,Rapid Bus,"77,410"
FY 17-18,July 2017,SUNDAY,Rapid Bus,"21,270"
FY 17-18,July 2017,SATURDAY,Rapid Bus,"26,710"
FY 17-18,July 2017,WEEKDAY,Rapid Bus,"75,720"
FY 17-18,August 2017,SUNDAY,Rapid Bus,"22,250"
FY 17-18,August 2017,SATURDAY,Rapid Bus,"26,660"
FY 17-18,August 2017,WEEKDAY,Rapid Bus,"80,230"
FY 17-18,September 2017,SUNDAY,Rapid Bus,"22,010"
FY 17-18,September 2017,SATURDAY,Rapid Bus,"26,050"
FY 17-18,September 2017,WEEKDAY,Rapid Bus,"83,760"
FY 17-18,October 2017,SUNDAY,Rapid Bus,"21,740"
FY 17-18,October 2017,SATURDAY,Rapid Bus,"27,450"
FY 17-18,October 2017,WEEKDAY,Rapid Bus,"84,460"
FY 17-18,November 2017,SUNDAY,Rapid Bus,"19,220"
FY 17-18,November 2017,SATURDAY,Rapid Bus,"25,870"
FY 17-18,November 2017,WEEKDAY,Rapid Bus,"79,440"
FY 17-18,December 2017,SUNDAY,Rapid Bus,"19,460"
FY 17-18,December 2017,SATURDAY,Rapid Bus,"26,790"
FY 17-18,December 2017,WEEKDAY,Rapid Bus,"80,110"
FY 17-18,January 2018,SUNDAY,Rapid Bus,"20,470"
FY 17-18,January 2018,SATURDAY,Rapid Bus,"26,280"
FY 17-18,January 2018,WEEKDAY,Rapid Bus,"76,500"
FY 17-18,February 2018,SUNDAY,Rapid Bus,"21,250"
FY 17-18,February 2018,SATURDAY,Rapid Bus,"26,620"
FY 17-18,February 2018,WEEKDAY,Rapid Bus,"84,160"
FY 17-18,March 2018,SUNDAY,Rapid Bus,"20,640"
FY 17-18,March 2018,SATURDAY,Rapid Bus,"25,240"
FY 17-18,March 2018,WEEKDAY,Rapid Bus,"79,440"
FY 17-18,April 2018,SUNDAY,Rapid Bus,"22,390"
FY 17-18,April 2018,SATURDAY,Rapid Bus,"27,650"
FY 17-18,April 2018,WEEKDAY,Rapid Bus,"83,330"
FY 17-18,May 2018,SUNDAY,Rapid Bus,"21,260"
FY 17-18,May 2018,SATURDAY,Rapid Bus,"26,140"
FY 17-18,May 2018,WEEKDAY,Rapid Bus,"83,270"
FY 17-18,June 2018,SUNDAY,Rapid Bus,"20,870"
FY 17-18,June 2018,SATURDAY,Rapid Bus,"25,860"
FY 17-18,June 2018,WEEKDAY,Rapid Bus,"81,420"
FY 18-19,July 2018,SUNDAY,Rapid Bus,"21,770"
FY 18-19,July 2018,SATURDAY,Rapid Bus,"26,580"
FY 18-19,July 2018,WEEKDAY,Rapid Bus,"81,710"
FY 18-19,August 2018,SUNDAY,Rapid Bus,"23,250"
FY 18-19,August 2018,SATURDAY,Rapid Bus,"27,780"
FY 18-19,August 2018,WEEKDAY,Rapid Bus,"85,600"
FY 18-19,September 2018,SUNDAY,Rapid Bus,"21,760"
FY 18-19,September 2018,SATURDAY,Rapid Bus,"26,600"
FY 18-19,September 2018,WEEKDAY,Rapid Bus,"86,900"
FY 18-19,October 2018,SUNDAY,Rapid Bus,"21,290"
FY 18-19,October 2018,SATURDAY,Rapid Bus,"26,250"
FY 18-19,October 2018,WEEKDAY,Rapid Bus,"87,610"
FY 18-19,November 2018,SUNDAY,Rapid Bus,"19,830"
FY 18-19,November 2018,SATURDAY,Rapid Bus,"24,520"
FY 18-19,November 2018,WEEKDAY,Rapid Bus,"80,870"
FY 18-19,December 2018,SUNDAY,Rapid Bus,"19,670"
FY 18-19,December 2018,SATURDAY,Rapid Bus,"25,700"
FY 18-19,December 2018,WEEKDAY,Rapid Bus,"82,930"
FY 18-19,January 2019,SUNDAY,Rapid Bus,"17,480"
FY 18-19,January 2019,SATURDAY,Rapid Bus,"24,920"
FY 18-19,January 2019,WEEKDAY,Rapid Bus,"82,740"
FY 18-19,February 2019,SUNDAY,Rapid Bus,"20,880"
FY 18-19,February 2019,SATURDAY,Rapid Bus,"24,280"
FY 18-19,February 2019,WEEKDAY,Rapid Bus,"83,150"
FY 18-19,March 2019,SUNDAY,Rapid Bus,"20,450"
FY 18-19,March 2019,SATURDAY,Rapid Bus,"27,000"
FY 18-19,March 2019,WEEKDAY,Rapid Bus,"82,830"
FY 18-19,April 2019,SUNDAY,Rapid Bus,"21,750"
FY 18-19,April 2019,SATURDAY,Rapid Bus,"27,520"
FY 18-19,April 2019,WEEKDAY,Rapid Bus,"86,690"
FY 18-19,May 2019,SUNDAY,Rapid Bus,"20,520"
FY 18-19,May 2019,SATURDAY,Rapid Bus,"25,130"
FY 18-19,May 2019,WEEKDAY,Rapid Bus,"85,710"
FY 18-19,June 2019,SUNDAY,Rapid Bus,"21,910"
FY 18-19,June 2019,SATURDAY,Rapid Bus,"26,420"
FY 18-19,June 2019,WEEKDAY,Rapid Bus,"81,900"
FY 19-20,July 2019,SUNDAY,Rapid Bus,"21,100"
FY 19-20,July 2019,SATURDAY,Rapid Bus,"25,680"
FY 19-20,July 2019,WEEKDAY,Rapid Bus,"78,250"
FY 19-20,August 2019,SUNDAY,Rapid Bus,"21,150"
FY 19-20,August 2019,SATURDAY,Rapid Bus,"24,480"
FY 19-20,August 2019,WEEKDAY,Rapid Bus,"79,870"
FY 19-20,September 2019,SUNDAY,Rapid Bus,"20,990"
FY 19-20,September 2019,SATURDAY,Rapid Bus,"25,920"
FY 19-20,September 2019,WEEKDAY,Rapid Bus,"87,730"
FY 19-20,October 2019,SUNDAY,Rapid Bus,"21,850"
FY 19-20,October 2019,SATURDAY,Rapid Bus,"26,400"
FY 19-20,October 2019,WEEKDAY,Rapid Bus,"87,940"
FY 19-20,November 2019,SUNDAY,Rapid Bus,"21,030"
FY 19-20,November 2019,SATURDAY,Rapid Bus,"25,310"
FY 19-20,November 2019,WEEKDAY,Rapid Bus,"83,040"
FY 19-20,December 2019,SUNDAY,Rapid Bus,"19,170"
FY 19-20,December 2019,SATURDAY,Rapid Bus,"26,740"
FY 19-20,December 2019,WEEKDAY,Rapid Bus,"78,170"
FY 19-20,January 2020,SUNDAY,Rapid Bus,"21,180"
FY 19-20,January 2020,SATURDAY,Rapid Bus,"25,460"
FY 19-20,January 2020,WEEKDAY,Rapid Bus,"82,260"
FY 19-20,February 2020,SUNDAY,Rapid Bus,"21,450"
FY 19-20,February 2020,SATURDAY,Rapid Bus,"26,650"
FY 19-20,February 2020,WEEKDAY,Rapid Bus,"86,840"
FY 19-20,March 2020,SUNDAY,Rapid Bus,"11,660"
FY 19-20,March 2020,SATURDAY,Rapid Bus,"13,100"
FY 19-20,March 2020,WEEKDAY,Rapid Bus,"49,640"
FY 19-20,April 2020,SUNDAY,Rapid Bus,"4,250"
FY 19-20,April 2020,SATURDAY,Rapid Bus,"5,180"
FY 19-20,April 2020,WEEKDAY,Rapid Bus,"9,120"
FY 19-20,May 2020,SUNDAY,Rapid Bus,"8,390"
FY 19-20,May 2020,SATURDAY,Rapid Bus,"9,640"
FY 19-20,May 2020,WEEKDAY,Rapid Bus,"15,350"
FY 19-20,June 2020,SUNDAY,Rapid Bus,"10,640"
FY 19-20,June 2020,SATURDAY,Rapid Bus,"12,310"
FY 19-20,June 2020,WEEKDAY,Rapid Bus,"22,780"
FY 20-21,July 2020,SUNDAY,Rapid Bus,"11,870"
FY 20-21,July 2020,SATURDAY,Rapid Bus,"14,290"
FY 20-21,July 2020,WEEKDAY,Rapid Bus,"25,920"
FY 20-21,August 2020,SUNDAY,Rapid Bus,"11,560"
FY 20-21,August 2020,SATURDAY,Rapid Bus,"14,630"
FY 20-21,August 2020,WEEKDAY,Rapid Bus,"26,100"
FY 20-21,September 2020,SUNDAY,Rapid Bus,"12,660"
FY 20-21,September 2020,SATURDAY,Rapid Bus,"15,240"
FY 20-21,September 2020,WEEKDAY,Rapid Bus,"26,710"
FY 20-21,October 2020,SUNDAY,Rapid Bus,"13,180"
FY 20-21,October 2020,SATURDAY,Rapid Bus,"16,340"
FY 20-21,October 2020,WEEKDAY,Rapid Bus,"28,010"
FY 20-21,November 2020,SUNDAY,Rapid Bus,"13,080"
FY 20-21,November 2020,SATURDAY,Rapid Bus,"16,020"
FY 20-21,November 2020,WEEKDAY,Rapid Bus,"28,110"
FY 20-21,December 2020,SUNDAY,Rapid Bus,"10,850"
FY 20-21,December 2020,SATURDAY,Rapid Bus,"15,100"
FY 20-21,December 2020,WEEKDAY,Rapid Bus,"27,010"
FY 20-21,January 2021,SUNDAY,Rapid Bus,"11,290"
FY 20-21,January 2021,SATURDAY,Rapid Bus,"14,210"
FY 20-21,January 2021,WEEKDAY,Rapid Bus,"25,370"
FY 20-21,February 2021,SUNDAY,Rapid Bus,"13,500"
FY 20-21,February 2021,SATURDAY,Rapid Bus,"15,720"
FY 20-21,February 2021,WEEKDAY,Rapid Bus,"27,690"
FY 20-21,March 2021,SUNDAY,Rapid Bus,"12,870"
FY 20-21,March 2021,SATURDAY,Rapid Bus,"16,330"
FY 20-21,March 2021,WEEKDAY,Rapid Bus,"29,260"
FY 20-21,April 2021,SUNDAY,Rapid Bus,"14,000"
FY 20-21,April 2021,SATURDAY,Rapid Bus,"17,270"
FY 20-21,April 2021,WEEKDAY,Rapid Bus,"30,700"
FY 20-21,May 2021,SUNDAY,Rapid Bus,"15,550"
FY 20-21,May 2021,SATURDAY,Rapid Bus,"17,630"
FY 20-21,May 2021,WEEKDAY,Rapid Bus,"31,850"
FY 20-21,June 2021,SUNDAY,Rapid Bus,"16,610"
FY 20-21,June 2021,SATURDAY,Rapid Bus,"20,140"
FY 20-21,June 2021,WEEKDAY,Rapid Bus,"33,670"
FY 21-22,July 2021,SUNDAY,Rapid Bus,"17,170"
FY 21-22,July 2021,SATURDAY,Rapid Bus,"20,260"
FY 21-22,July 2021,WEEKDAY,Rapid Bus,"35,220"
FY 21-22,August 2021,SUNDAY,Rapid Bus,"17,200"
FY 21-22,August 2021,SATURDAY,Rapid Bus,"20,370"
FY 21-22,August 2021,WEEKDAY,Rapid Bus,"38,600"
FY 21-22,September 2021,SUNDAY,Rapid Bus,"17,380"
FY 21-22,September 2021,SATURDAY,Rapid Bus,"21,060"
FY 21-22,September 2021,WEEKDAY,Rapid Bus,"42,360"
FY 21-22,October 2021,SUNDAY,Rapid Bus,"15,750"
FY 21-22,October 2021,SATURDAY,Rapid Bus,"21,890"
FY 21-22,October 2021,WEEKDAY,Rapid Bus,"41,740"
FY 21-22,November 2021,SUNDAY,Rapid Bus,"16,980"
FY 21-22,November 2021,SATURDAY,Rapid Bus,"22,790"
FY 21-22,November 2021,WEEKDAY,Rapid Bus,"40,410"
FY 21-22,December 2021,SUNDAY,Rapid Bus,"16,800"
FY 21-22,December 2021,SATURDAY,Rapid Bus,"19,990"
FY 21-22,December 2021,WEEKDAY,Rapid Bus,"38,100"
FY 21-22,January 2022,SUNDAY,Rapid Bus,"14,720"
FY 21-22,January 2022,SATURDAY,Rapid Bus,"17,780"
FY 21-22,January 2022,WEEKDAY,Rapid Bus,"35,850"
FY 21-22,February 2022,SUNDAY,Rapid Bus,"17,230"
FY 21-22,February 2022,SATURDAY,Rapid Bus,"21,600"
FY 21-22,February 2022,WEEKDAY,Rapid Bus,"36,850"
FY 21-22,March 2022,SUNDAY,Rapid Bus,"18,870"
FY 21-22,March 2022,SATURDAY,Rapid Bus,"23,210"
FY 21-22,March 2022,WEEKDAY,Rapid Bus,"40,690"
FY 21-22,April 2022,SUNDAY,Rapid Bus,"19,210"
FY 21-22,April 2022,SATURDAY,Rapid Bus,"24,030"
FY 21-22,April 2022,WEEKDAY,Rapid Bus,"42,710"
FY 21-22,May 2022,SUNDAY,Rapid Bus,"18,930"
FY 21-22,May 2022,SATURDAY,Rapid Bus,"22,850"
FY 21-22,May 2022,WEEKDAY,Rapid Bus,"43,750"
FY 21-22,June 2022,SUNDAY,Rapid Bus,"19,040"
FY 21-22,June 2022,SATURDAY,Rapid Bus,"23,940"
FY 21-22,June 2022,WEEKDAY,Rapid Bus,"43,040"
FY 22-23,July 2022,SUNDAY,Rapid Bus,"19,690"
FY 22-23,July 2022,SATURDAY,Rapid Bus,"23,660"
FY 22-23,July 2022,WEEKDAY,Rapid Bus,"45,440"
FY 22-23,August 2022,SUNDAY,Rapid Bus,"22,110"
FY 22-23,August 2022,SATURDAY,Rapid Bus,"25,150"
FY 22-23,August 2022,WEEKDAY,Rapid Bus,"49,220"
FY 22-23,September 2022,SUNDAY,Rapid Bus,"20,620"
FY 22-23,September 2022,SATURDAY,Rapid Bus,"25,880"
FY 22-23,September 2022,WEEKDAY,Rapid Bus,"52,210"
FY 22-23,October 2022,SUNDAY,Rapid Bus,"21,870"
FY 22-23,October 2022,SATURDAY,Rapid Bus,"26,410"
FY 22-23,October 2022,WEEKDAY,Rapid Bus,"53,270"
FY 22-23,November 2022,SUNDAY,Rapid Bus,"20,560"
FY 22-23,November 2022,SATURDAY,Rapid Bus,"25,300"
FY 22-23,November 2022,WEEKDAY,Rapid Bus,"50,930"
FY 22-23,December 2022,SUNDAY,Rapid Bus,"18,790"
FY 22-23,December 2022,SATURDAY,Rapid Bus,"20,810"
FY 22-23,December 2022,WEEKDAY,Rapid Bus,"47,650"
FY 22-23,January 2023,SUNDAY,Rapid Bus,"19,680"
FY 22-23,January 2023,SATURDAY,Rapid Bus,"23,010"
FY 22-23,January 2023,WEEKDAY,Rapid Bus,"50,200"
FY 22-23,February 2023,SUNDAY,Rapid Bus,"20,670"
FY 22-23,February 2023,SATURDAY,Rapid Bus,"25,260"
FY 22-23,February 2023,WEEKDAY,Rapid Bus,"53,690"
FY 22-23,March 2023,SUNDAY,Rapid Bus,"20,460"
FY 22-23,March 2023,SATURDAY,Rapid Bus,"25,520"
FY 22-23,March 2023,WEEKDAY,Rapid Bus,"52,240"
FY 22-23,April 2023,SUNDAY,Rapid Bus,"24,370"
FY 22-23,April 2023,SATURDAY,Rapid Bus,"28,290"
FY 22-23,April 2023,WEEKDAY,Rapid Bus,"56,780"
FY 22-23,May 2023,SUNDAY,Rapid Bus,"22,350"
FY 22-23,May 2023,SATURDAY,Rapid Bus,"26,270"
FY 22-23,May 2023,WEEKDAY,Rapid Bus,"56,610"
FY 22-23,June 2023,SUNDAY,Rapid Bus,"22,480"
FY 22-23,June 2023,SATURDAY,Rapid Bus,"27,200"
FY 22-23,June 2023,WEEKDAY,Rapid Bus,"56,210"
FY 23-24,July 2023,SUNDAY,Rapid Bus,"23,760"
FY 23-24,July 2023,SATURDAY,Rapid Bus,"28,450"
FY 23-24,July 2023,WEEKDAY,Rapid Bus,"57,070"
FY 23-24,August 2023,SUNDAY,Rapid Bus,"25,200"
FY 23-24,August 2023,SATURDAY,Rapid Bus,"29,250"
FY 23-24,August 2023,WEEKDAY,Rapid Bus,"61,580"
FY 23-24,September 2023,SUNDAY,Rapid Bus,"25,010"
FY 23-24,September 2023,SATURDAY,Rapid Bus,"28,420"
FY 23-24,September 2023,WEEKDAY,Rapid Bus,"66,250"
FY 23-24,October 2023,SUNDAY,Rapid Bus,"25,440"
FY 23-24,October 2023,SATURDAY,Rapid Bus,"29,510"
FY 23-24,October 2023,WEEKDAY,Rapid Bus,"66,230"
FY 23-24,November 2023,SUNDAY,Rapid Bus,"21,730"
FY 23-24,November 2023,SATURDAY,Rapid Bus,"28,920"
FY 23-24,November 2023,WEEKDAY,Rapid Bus,"61,680"
FY 23-24,December 2023,SUNDAY,Rapid Bus,"23,640"
FY 23-24,December 2023,SATURDAY,Rapid Bus,"26,430"
FY 23-24,December 2023,WEEKDAY,Rapid Bus,"59,760"
FY 23-24,January 2024,SUNDAY,Rapid Bus,"22,950"
FY 23-24,January 2024,SATURDAY,Rapid Bus,"25,250"
FY 23-24,January 2024,WEEKDAY,Rapid Bus,"61,220"
FY 23-24,February 2024,SUNDAY,Rapid Bus,"22,830"
FY 23-24,February 2024,SATURDAY,Rapid Bus,"27,830"
FY 23-24,February 2024,WEEKDAY,Rapid Bus,"65,510"
FY 23-24,March 2024,SUNDAY,Rapid Bus,"24,150"
FY 23-24,March 2024,SATURDAY,Rapid Bus,"28,580"
FY 23-24,March 2024,WEEKDAY,Rapid Bus,"66,270"
FY 23-24,April 2024,SUNDAY,Rapid Bus,"26,590"
FY 23-24,April 2024,SATURDAY,Rapid Bus,"29,100"
FY 23-24,April 2024,WEEKDAY,Rapid Bus,"65,910"
FY 23-24,May 2024,SUNDAY,Rapid Bus,"25,170"
FY 23-24,May 2024,SATURDAY,Rapid Bus,"27,150"
FY 23-24,May 2024,WEEKDAY,Rapid Bus,"67,760"
FY 23-24,June 2024,SUNDAY,Rapid Bus,"25,910"
FY 23-24,June 2024,SATURDAY,Rapid Bus,"29,150"
FY 23-24,June 2024,WEEKDAY,Rapid Bus,"63,750"
FY 15-16,January 2016,SUNDAY,Specialized,290
FY 15-16,January 2016,SATURDAY,Specialized,220
FY 15-16,January 2016,WEEKDAY,Specialized,"33,050"
FY 15-16,February 2016,SUNDAY,Specialized,250
FY 15-16,February 2016,SATURDAY,Specialized,350
FY 15-16,February 2016,WEEKDAY,Specialized,"33,720"
FY 15-16,March 2016,SUNDAY,Specialized,200
FY 15-16,March 2016,SATURDAY,Specialized,180
FY 15-16,March 2016,WEEKDAY,Specialized,"32,600"
FY 15-16,April 2016,SUNDAY,Specialized,340
FY 15-16,April 2016,SATURDAY,Specialized,370
FY 15-16,April 2016,WEEKDAY,Specialized,"33,330"
FY 15-16,May 2016,SUNDAY,Specialized,260
FY 15-16,May 2016,SATURDAY,Specialized,320
FY 15-16,May 2016,WEEKDAY,Specialized,"32,240"
FY 15-16,June 2016,SUNDAY,Specialized,370
FY 15-16,June 2016,SATURDAY,Specialized,310
FY 15-16,June 2016,WEEKDAY,Specialized,"31,990"
FY 16-17,July 2016,SUNDAY,Specialized,370
FY 16-17,July 2016,SATURDAY,Specialized,480
FY 16-17,July 2016,WEEKDAY,Specialized,"30,310"
FY 16-17,August 2016,SUNDAY,Specialized,520
FY 16-17,August 2016,SATURDAY,Specialized,660
FY 16-17,August 2016,WEEKDAY,Specialized,"32,480"
FY 16-17,September 2016,SUNDAY,Specialized,460
FY 16-17,September 2016,SATURDAY,Specialized,330
FY 16-17,September 2016,WEEKDAY,Specialized,"33,380"
FY 16-17,October 2016,SUNDAY,Specialized,230
FY 16-17,October 2016,SATURDAY,Specialized,320
FY 16-17,October 2016,WEEKDAY,Specialized,"33,160"
FY 16-17,November 2016,SUNDAY,Specialized,330
FY 16-17,November 2016,SATURDAY,Specialized,260
FY 16-17,November 2016,WEEKDAY,Specialized,"31,820"
FY 16-17,December 2016,SUNDAY,Specialized,300
FY 16-17,December 2016,SATURDAY,Specialized,260
FY 16-17,December 2016,WEEKDAY,Specialized,"30,150"
FY 16-17,January 2017,SUNDAY,Specialized,110
FY 16-17,January 2017,SATURDAY,Specialized,230
